node,child
1898,1391
1898,1614
1898,4063
1898,4062
1898,3868
3144,1840
3144,1174
3144,430
3144,3823
3144,704
3144,2115
3144,4067
3144,1586
3144,1547
3144,1241
3144,1636
3144,951
3144,2007
3144,1898
3144,159
3144,197
3144,240
3144,3394
3144,2325
3144,2413
3144,4121
3144,3817
3144,4125
3144,4126
3144,4127
3144,4122
3144,4123
3144,4124
3144,4128
3144,4129
3144,4130
3144,4131
3144,4311
3144,1037
3144,1424
3144,768
3144,18
3144,3909
3144,3910
3144,3911
3144,3912
3144,3913
3144,1429
3144,3914
3144,1428
3144,3225
3144,2833
3144,2526
3144,3453
3144,2414
3144,1070
3144,3824
3144,1012
3144,3890
3144,2416
3144,3825
3144,3826
3144,4023
3144,2344
3144,2155
3144,4054
3144,4055
3144,1324
3144,2157
3144,775
3144,3828
3144,2041
3144,3573
3144,3057
3144,593
3144,592
3144,591
3144,590
3144,589
3144,588
3144,587
3144,586
3144,584
3144,585
3144,3572
3144,1321
3144,158
3144,288
3144,1391
3144,1614
3144,4063
3144,4062
3144,3868
159,1840
159,1174
159,430
159,3823
159,704
159,2115
159,4067
159,1586
159,1547
159,1241
159,1636
159,951
159,2007
159,1898
159,3144
159,197
159,240
159,3394
159,2325
159,2413
159,4121
159,3817
159,4125
159,4126
159,4127
159,4122
159,4123
159,4124
159,4128
159,4129
159,4130
159,4131
159,4311
159,1037
159,1424
159,768
159,18
159,3909
159,3910
159,3911
159,3912
159,3913
159,1429
159,3914
159,1428
159,3225
159,2833
159,2526
159,3453
159,2414
159,1070
159,3824
159,1012
159,3890
159,2416
159,3825
159,3826
159,4023
159,2344
159,2155
159,4054
159,4055
159,1324
159,2157
159,775
159,3828
159,2041
159,3573
159,3057
159,593
159,592
159,591
159,590
159,589
159,588
159,587
159,586
159,584
159,585
159,3572
159,1321
159,158
159,288
159,1391
159,1614
159,4063
159,4062
159,3868
197,1840
197,1174
197,430
197,3823
197,704
197,2115
197,4067
197,1586
197,1547
197,1241
197,1636
197,951
197,2007
197,1898
197,3144
197,159
197,240
197,3394
197,2325
197,2413
197,4121
197,3817
197,4125
197,4126
197,4127
197,4122
197,4123
197,4124
197,4128
197,4129
197,4130
197,4131
197,4311
197,1037
197,1424
197,768
197,18
197,3909
197,3910
197,3911
197,3912
197,3913
197,1429
197,3914
197,1428
197,3225
197,2833
197,2526
